Zeitstempel:                     Temperatur:
Fri Sep 29 13:59:57 CEST 2023    32.50
Fri Sep 29 13:59:58 CEST 2023    32.50
Fri Sep 29 13:59:58 CEST 2023    32.50
Fri Sep 29 13:59:58 CEST 2023    32.25
Fri Sep 29 13:59:58 CEST 2023    32.25
Fri Sep 29 13:59:59 CEST 2023    32.25
Fri Sep 29 13:59:59 CEST 2023    32.25
Fri Sep 29 13:59:59 CEST 2023    32.25
Fri Sep 29 13:59:59 CEST 2023    32.25
Fri Sep 29 13:59:59 CEST 2023    32.25
Fri Sep 29 14:00:00 CEST 2023    32.25
Fri Sep 29 14:00:00 CEST 2023    32.25
Fri Sep 29 14:00:00 CEST 2023    32.25
Fri Sep 29 14:00:00 CEST 2023    32.25
Fri Sep 29 14:00:01 CEST 2023    32.25
Fri Sep 29 14:00:01 CEST 2023    32.25
Fri Sep 29 14:00:01 CEST 2023    32.25
Fri Sep 29 14:00:01 CEST 2023    32.25
Fri Sep 29 14:00:02 CEST 2023    32.25
Fri Sep 29 14:00:02 CEST 2023    32.25
Fri Sep 29 14:00:02 CEST 2023    32.25
Fri Sep 29 14:00:02 CEST 2023    32.25
Fri Sep 29 14:00:03 CEST 2023    32.25
Fri Sep 29 14:00:03 CEST 2023    32.25
Fri Sep 29 14:00:03 CEST 2023    32.25
Fri Sep 29 14:00:03 CEST 2023    32.25
Fri Sep 29 14:00:04 CEST 2023    32.25
Fri Sep 29 14:00:04 CEST 2023    32.00
Fri Sep 29 14:00:04 CEST 2023    32.00
Fri Sep 29 14:00:04 CEST 2023    32.25
Fri Sep 29 14:00:05 CEST 2023    32.00
Fri Sep 29 14:00:05 CEST 2023    32.00
Fri Sep 29 14:00:05 CEST 2023    32.00
Fri Sep 29 14:00:05 CEST 2023    32.00
Fri Sep 29 14:00:05 CEST 2023    32.00
Fri Sep 29 14:00:06 CEST 2023    32.00
Fri Sep 29 14:00:06 CEST 2023    32.00
Fri Sep 29 14:00:06 CEST 2023    32.00
Fri Sep 29 14:00:06 CEST 2023    32.00
Fri Sep 29 14:00:07 CEST 2023    32.00
Fri Sep 29 14:00:07 CEST 2023    32.00
Fri Sep 29 14:00:07 CEST 2023    32.00
Fri Sep 29 14:00:07 CEST 2023    32.00
Fri Sep 29 14:00:08 CEST 2023    32.00
Fri Sep 29 14:00:08 CEST 2023    32.00
Fri Sep 29 14:00:08 CEST 2023    32.00
Fri Sep 29 14:00:08 CEST 2023    32.00
Fri Sep 29 14:00:09 CEST 2023    32.00
Fri Sep 29 14:00:09 CEST 2023    32.00
Fri Sep 29 14:00:09 CEST 2023    32.00
Fri Sep 29 14:00:09 CEST 2023    32.00
Fri Sep 29 14:00:10 CEST 2023    32.00
Fri Sep 29 14:00:10 CEST 2023    32.00
Fri Sep 29 14:00:10 CEST 2023    32.00
Fri Sep 29 14:00:10 CEST 2023    32.00
Fri Sep 29 14:00:10 CEST 2023    32.00
Fri Sep 29 14:00:11 CEST 2023    32.00
Fri Sep 29 14:00:11 CEST 2023    32.00
Fri Sep 29 14:00:11 CEST 2023    31.75
Fri Sep 29 14:00:11 CEST 2023    31.75
Fri Sep 29 14:00:12 CEST 2023    31.75
Fri Sep 29 14:00:12 CEST 2023    32.00
Fri Sep 29 14:00:12 CEST 2023    31.75
Fri Sep 29 14:00:12 CEST 2023    31.75
Fri Sep 29 14:00:13 CEST 2023    31.75
Fri Sep 29 14:00:13 CEST 2023    31.75
Fri Sep 29 14:00:13 CEST 2023    31.75
Fri Sep 29 14:00:13 CEST 2023    31.75
Fri Sep 29 14:00:14 CEST 2023    31.75
Fri Sep 29 14:00:14 CEST 2023    31.75
Fri Sep 29 14:00:14 CEST 2023    31.75
Fri Sep 29 14:00:14 CEST 2023    31.75
Fri Sep 29 14:00:15 CEST 2023    31.75
Fri Sep 29 14:00:15 CEST 2023    31.75
Fri Sep 29 14:00:15 CEST 2023    31.75
Fri Sep 29 14:00:15 CEST 2023    31.75
Fri Sep 29 14:00:15 CEST 2023    31.75
Fri Sep 29 14:00:16 CEST 2023    31.75
Fri Sep 29 14:00:16 CEST 2023    31.75
Fri Sep 29 14:00:16 CEST 2023    31.75
Fri Sep 29 14:00:16 CEST 2023    31.75
Fri Sep 29 14:00:17 CEST 2023    31.75
Fri Sep 29 14:00:17 CEST 2023    31.75
Fri Sep 29 14:00:17 CEST 2023    31.75
Fri Sep 29 14:00:17 CEST 2023    31.75
Fri Sep 29 14:00:18 CEST 2023    31.75
Fri Sep 29 14:00:18 CEST 2023    31.75
Fri Sep 29 14:00:18 CEST 2023    31.75
Fri Sep 29 14:00:18 CEST 2023    31.75
Fri Sep 29 14:00:19 CEST 2023    31.75
Fri Sep 29 14:00:19 CEST 2023    31.75
Fri Sep 29 14:00:19 CEST 2023    31.75
Fri Sep 29 14:00:19 CEST 2023    31.75
Fri Sep 29 14:00:20 CEST 2023    31.75
Fri Sep 29 14:00:20 CEST 2023    31.75
Fri Sep 29 14:00:20 CEST 2023    31.75
Fri Sep 29 14:00:20 CEST 2023    31.75
Fri Sep 29 14:00:20 CEST 2023    31.75
Fri Sep 29 14:00:21 CEST 2023    31.50
Fri Sep 29 14:00:21 CEST 2023    31.50
Fri Sep 29 14:00:21 CEST 2023    31.50
Fri Sep 29 14:00:21 CEST 2023    31.50
Fri Sep 29 14:00:22 CEST 2023    31.50
Fri Sep 29 14:00:22 CEST 2023    31.50
Fri Sep 29 14:00:22 CEST 2023    31.50
Fri Sep 29 14:00:22 CEST 2023    31.50
Fri Sep 29 14:00:23 CEST 2023    31.50
Fri Sep 29 14:00:23 CEST 2023    31.50
Fri Sep 29 14:00:23 CEST 2023    31.50
Fri Sep 29 14:00:23 CEST 2023    31.50
Fri Sep 29 14:00:24 CEST 2023    31.50
Fri Sep 29 14:00:24 CEST 2023    31.50
Fri Sep 29 14:00:24 CEST 2023    31.50
Fri Sep 29 14:00:24 CEST 2023    31.50
Fri Sep 29 14:00:25 CEST 2023    31.50
